iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
BRA,South America,Brazil,26/02/20,1,1,,,212559409
BRA,South America,Brazil,27/02/20,1,0,,,212559409
BRA,South America,Brazil,28/02/20,1,0,,,212559409
BRA,South America,Brazil,29/02/20,2,1,,,212559409
BRA,South America,Brazil,01/03/20,2,0,,,212559409
BRA,South America,Brazil,02/03/20,2,0,,,212559409
BRA,South America,Brazil,03/03/20,2,0,,,212559409
BRA,South America,Brazil,04/03/20,4,2,,,212559409
BRA,South America,Brazil,05/03/20,4,0,,,212559409
BRA,South America,Brazil,06/03/20,13,9,,,212559409
BRA,South America,Brazil,07/03/20,13,0,,,212559409
BRA,South America,Brazil,08/03/20,20,7,,,212559409
BRA,South America,Brazil,09/03/20,25,5,,,212559409
BRA,South America,Brazil,10/03/20,31,6,,,212559409
BRA,South America,Brazil,11/03/20,38,7,,,212559409
BRA,South America,Brazil,12/03/20,52,14,,,212559409
BRA,South America,Brazil,13/03/20,151,99,,,212559409
BRA,South America,Brazil,14/03/20,151,0,,,212559409
BRA,South America,Brazil,15/03/20,162,11,,,212559409
BRA,South America,Brazil,16/03/20,200,38,,,212559409
BRA,South America,Brazil,17/03/20,321,121,1,1,212559409
BRA,South America,Brazil,18/03/20,372,51,3,2,212559409
BRA,South America,Brazil,19/03/20,621,249,6,3,212559409
BRA,South America,Brazil,20/03/20,793,172,11,5,212559409
BRA,South America,Brazil,21/03/20,1021,228,15,4,212559409
BRA,South America,Brazil,22/03/20,1546,525,25,10,212559409
BRA,South America,Brazil,23/03/20,1924,378,34,9,212559409
BRA,South America,Brazil,24/03/20,2247,323,46,12,212559409
BRA,South America,Brazil,25/03/20,2554,307,59,13,212559409
BRA,South America,Brazil,26/03/20,2985,431,77,18,212559409
BRA,South America,Brazil,27/03/20,3417,432,92,15,212559409
BRA,South America,Brazil,28/03/20,3904,487,111,19,212559409
BRA,South America,Brazil,29/03/20,4256,352,136,25,212559409
BRA,South America,Brazil,30/03/20,4579,323,159,23,212559409
BRA,South America,Brazil,31/03/20,5717,1138,201,42,212559409
BRA,South America,Brazil,01/04/20,6836,1119,240,39,212559409
BRA,South America,Brazil,02/04/20,8044,1208,324,84,212559409
BRA,South America,Brazil,03/04/20,9056,1012,359,35,212559409
BRA,South America,Brazil,04/04/20,10360,1304,445,86,212559409
BRA,South America,Brazil,05/04/20,11130,770,486,41,212559409
BRA,South America,Brazil,06/04/20,12161,1031,564,78,212559409
BRA,South America,Brazil,07/04/20,14034,1873,686,122,212559409
BRA,South America,Brazil,08/04/20,16170,2136,819,133,212559409
BRA,South America,Brazil,09/04/20,18092,1922,950,131,212559409
BRA,South America,Brazil,10/04/20,19638,1546,1057,107,212559409
BRA,South America,Brazil,11/04/20,20727,1089,1124,67,212559409
BRA,South America,Brazil,12/04/20,22192,1465,1223,99,212559409
BRA,South America,Brazil,13/04/20,23430,1238,1328,105,212559409
BRA,South America,Brazil,14/04/20,25262,1832,1532,204,212559409
BRA,South America,Brazil,15/04/20,28320,3058,1736,204,212559409
BRA,South America,Brazil,16/04/20,30425,2105,1924,188,212559409
BRA,South America,Brazil,17/04/20,33682,3257,2141,217,212559409
BRA,South America,Brazil,18/04/20,36658,2976,2354,213,212559409
BRA,South America,Brazil,19/04/20,38654,1996,2462,108,212559409
BRA,South America,Brazil,20/04/20,40743,2089,2587,125,212559409
BRA,South America,Brazil,21/04/20,43079,2336,2741,154,212559409
BRA,South America,Brazil,22/04/20,45757,2678,2906,165,212559409
BRA,South America,Brazil,23/04/20,50036,4279,3331,425,212559409
BRA,South America,Brazil,24/04/20,54043,4007,3704,373,212559409
BRA,South America,Brazil,25/04/20,59324,5281,4057,353,212559409
BRA,South America,Brazil,26/04/20,63100,3776,4286,229,212559409
BRA,South America,Brazil,27/04/20,67446,4346,4603,317,212559409
BRA,South America,Brazil,28/04/20,73235,5789,5083,480,212559409
BRA,South America,Brazil,29/04/20,79685,6450,5513,430,212559409
BRA,South America,Brazil,30/04/20,87187,7502,6006,493,212559409
BRA,South America,Brazil,01/05/20,92202,5015,6412,406,212559409
BRA,South America,Brazil,02/05/20,97100,4898,6761,349,212559409
BRA,South America,Brazil,03/05/20,101826,4726,7051,290,212559409
BRA,South America,Brazil,04/05/20,108620,6794,7367,316,212559409
BRA,South America,Brazil,05/05/20,115455,6835,7938,571,212559409
BRA,South America,Brazil,06/05/20,126611,11156,8588,650,212559409
BRA,South America,Brazil,07/05/20,135773,9162,9190,602,212559409
BRA,South America,Brazil,08/05/20,146894,11121,10017,827,212559409
BRA,South America,Brazil,09/05/20,156061,9167,10656,639,212559409
BRA,South America,Brazil,10/05/20,162699,6638,11123,467,212559409
BRA,South America,Brazil,11/05/20,169594,6895,11653,530,212559409
BRA,South America,Brazil,12/05/20,178214,8620,12461,808,212559409
BRA,South America,Brazil,13/05/20,190137,11923,13240,779,212559409
BRA,South America,Brazil,14/05/20,203165,13028,13999,759,212559409
BRA,South America,Brazil,15/05/20,220291,17126,14962,963,212559409
BRA,South America,Brazil,16/05/20,233511,13220,15662,700,212559409
BRA,South America,Brazil,17/05/20,241080,7569,16118,456,212559409
BRA,South America,Brazil,18/05/20,255368,14288,16853,735,212559409
BRA,South America,Brazil,19/05/20,271885,16517,17983,1130,212559409
BRA,South America,Brazil,20/05/20,291579,19694,18859,876,212559409
BRA,South America,Brazil,21/05/20,310087,18508,20047,1188,212559409
BRA,South America,Brazil,22/05/20,330890,20803,21048,1001,212559409
BRA,South America,Brazil,23/05/20,347398,16508,22013,965,212559409
BRA,South America,Brazil,24/05/20,363211,15813,22666,653,212559409
BRA,South America,Brazil,25/05/20,374898,11687,23473,807,212559409
BRA,South America,Brazil,26/05/20,391222,16324,24512,1039,212559409
BRA,South America,Brazil,27/05/20,411821,20599,25598,1086,212559409
BRA,South America,Brazil,28/05/20,438238,26417,26754,1156,212559409
BRA,South America,Brazil,29/05/20,465166,26928,27878,1124,212559409
BRA,South America,Brazil,30/05/20,498440,33274,28834,956,212559409
BRA,South America,Brazil,31/05/20,514849,16409,29314,480,212559409
BRA,South America,Brazil,01/06/20,526447,11598,29937,623,212559409
BRA,South America,Brazil,02/06/20,555383,28936,31199,1262,212559409
BRA,South America,Brazil,03/06/20,584016,28633,32548,1349,212559409
BRA,South America,Brazil,04/06/20,614941,30925,34021,1473,212559409
BRA,South America,Brazil,05/06/20,645771,30830,35026,1005,212559409
BRA,South America,Brazil,06/06/20,672846,27075,35930,904,212559409
BRA,South America,Brazil,07/06/20,691758,18912,36455,525,212559409
BRA,South America,Brazil,08/06/20,707412,15654,37134,679,212559409
BRA,South America,Brazil,09/06/20,739503,32091,38406,1272,212559409
BRA,South America,Brazil,10/06/20,772416,32913,39680,1274,212559409
BRA,South America,Brazil,11/06/20,802828,30412,40919,1239,212559409
BRA,South America,Brazil,12/06/20,828810,25982,41828,909,212559409
BRA,South America,Brazil,13/06/20,850514,21704,42720,892,212559409
BRA,South America,Brazil,14/06/20,867624,17110,43332,612,212559409
BRA,South America,Brazil,15/06/20,888271,20647,43959,627,212559409
BRA,South America,Brazil,16/06/20,923189,34918,45241,1282,212559409
BRA,South America,Brazil,17/06/20,955377,32188,46510,1269,212559409
BRA,South America,Brazil,18/06/20,978142,22765,47748,1238,212559409
BRA,South America,Brazil,19/06/20,1032913,54771,48954,1206,212559409
BRA,South America,Brazil,20/06/20,1067579,34666,49976,1022,212559409
BRA,South America,Brazil,21/06/20,1083341,15762,50591,615,212559409
BRA,South America,Brazil,22/06/20,1106470,23129,51271,680,212559409
BRA,South America,Brazil,23/06/20,1145906,39436,52645,1374,212559409
BRA,South America,Brazil,24/06/20,1188631,42725,53830,1185,212559409
BRA,South America,Brazil,25/06/20,1228114,39483,54971,1141,212559409
BRA,South America,Brazil,26/06/20,1274974,46860,55961,990,212559409
BRA,South America,Brazil,27/06/20,1313667,38693,57070,1109,212559409
BRA,South America,Brazil,28/06/20,1344143,30476,57622,552,212559409
BRA,South America,Brazil,29/06/20,1368195,24052,58314,692,212559409
BRA,South America,Brazil,30/06/20,1402041,33846,59594,1280,212559409
BRA,South America,Brazil,01/07/20,1448753,46712,60632,1038,212559409
BRA,South America,Brazil,02/07/20,1496858,48105,61884,1252,212559409
BRA,South America,Brazil,03/07/20,1539081,42223,63174,1290,212559409
BRA,South America,Brazil,04/07/20,1577004,37923,64265,1091,212559409
BRA,South America,Brazil,05/07/20,1603055,26051,64867,602,212559409
BRA,South America,Brazil,06/07/20,1623284,20229,65487,620,212559409
BRA,South America,Brazil,07/07/20,1668589,45305,66741,1254,212559409
BRA,South America,Brazil,08/07/20,1713160,44571,67964,1223,212559409
BRA,South America,Brazil,09/07/20,1755779,42619,69184,1220,212559409
BRA,South America,Brazil,10/07/20,1800827,45048,70398,1214,212559409
BRA,South America,Brazil,11/07/20,1839850,39023,71469,1071,212559409
BRA,South America,Brazil,12/07/20,1864681,24831,72100,631,212559409
BRA,South America,Brazil,13/07/20,1884967,20286,72833,733,212559409
BRA,South America,Brazil,14/07/20,1926824,41857,74133,1300,212559409
BRA,South America,Brazil,15/07/20,1966748,39924,75366,1233,212559409
BRA,South America,Brazil,16/07/20,2012151,45403,76688,1322,212559409
BRA,South America,Brazil,17/07/20,2046328,34177,77851,1163,212559409
BRA,South America,Brazil,18/07/20,2074860,28532,78772,921,212559409
BRA,South America,Brazil,19/07/20,2098389,23529,79488,716,212559409
BRA,South America,Brazil,20/07/20,2118646,20257,80120,632,212559409
BRA,South America,Brazil,21/07/20,2159654,41008,81487,1367,212559409
BRA,South America,Brazil,22/07/20,2227514,67860,82771,1284,212559409
BRA,South America,Brazil,23/07/20,2287475,59961,84082,1311,212559409
BRA,South America,Brazil,24/07/20,2343366,55891,85238,1156,212559409
BRA,South America,Brazil,25/07/20,2394513,51147,86449,1211,212559409
BRA,South America,Brazil,26/07/20,2419091,24578,87004,555,212559409
BRA,South America,Brazil,27/07/20,2442375,23284,87618,614,212559409
BRA,South America,Brazil,28/07/20,2483191,40816,88539,921,212559409
BRA,South America,Brazil,29/07/20,2552265,69074,90134,1595,212559409
BRA,South America,Brazil,30/07/20,2610102,57837,91263,1129,212559409
BRA,South America,Brazil,31/07/20,2662485,52383,92475,1212,212559409
BRA,South America,Brazil,01/08/20,2707877,45392,93563,1088,212559409
BRA,South America,Brazil,02/08/20,2733677,25800,94104,541,212559409
BRA,South America,Brazil,03/08/20,2750318,16641,94665,561,212559409
BRA,South America,Brazil,04/08/20,2801921,51603,95819,1154,212559409
BRA,South America,Brazil,05/08/20,2859073,57152,97256,1437,212559409
BRA,South America,Brazil,06/08/20,2912212,53139,98493,1237,212559409
BRA,South America,Brazil,07/08/20,2962442,50230,99572,1079,212559409
BRA,South America,Brazil,08/08/20,3012412,49970,100477,905,212559409
BRA,South America,Brazil,09/08/20,3035422,23010,101049,572,212559409
BRA,South America,Brazil,10/08/20,3057470,22048,101752,703,212559409
BRA,South America,Brazil,11/08/20,3109630,52160,103026,1274,212559409
BRA,South America,Brazil,12/08/20,3164785,55155,104201,1175,212559409
BRA,South America,Brazil,13/08/20,3224876,60091,105463,1262,212559409
BRA,South America,Brazil,14/08/20,3275520,50644,106523,1060,212559409
BRA,South America,Brazil,15/08/20,3317096,41576,107232,709,212559409
BRA,South America,Brazil,16/08/20,3340197,23101,107852,620,212559409
BRA,South America,Brazil,17/08/20,3359570,19373,108536,684,212559409
BRA,South America,Brazil,18/08/20,3407354,47784,109888,1352,212559409
BRA,South America,Brazil,19/08/20,3456652,49298,111100,1212,212559409
BRA,South America,Brazil,20/08/20,3501975,45323,112304,1204,212559409
BRA,South America,Brazil,21/08/20,3532330,30355,113358,1054,212559409
BRA,South America,Brazil,22/08/20,3582362,50032,114250,892,212559409
BRA,South America,Brazil,23/08/20,3605783,23421,114744,494,212559409
BRA,South America,Brazil,24/08/20,3622861,17078,115309,565,212559409
BRA,South America,Brazil,25/08/20,3669995,47134,116580,1271,212559409
BRA,South America,Brazil,26/08/20,3717156,47161,117665,1085,212559409
BRA,South America,Brazil,27/08/20,3761391,44235,118649,984,212559409
BRA,South America,Brazil,28/08/20,3804803,43412,119504,855,212559409
BRA,South America,Brazil,29/08/20,3846153,41350,120262,758,212559409
BRA,South America,Brazil,30/08/20,3862311,16158,120828,566,212559409
BRA,South America,Brazil,31/08/20,3908272,45961,121381,553,212559409
